"","id","name","lat","long","date","areaSqKm","boundary","initGovt","initRebel","initCiv","initOther","targetGovt","targetRebel","targetCiv","targetOther","direct","hometownRel","governanceApproval","difficultFindJob","stdLiving","orgs","year","yearsSince1969"
"94",743,"Armagh",54.18859863,-6.361060143,19720414,1368.053543,0,0,1,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"95",4846,"Armagh",54.19549179,-6.395780087,19720229,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"96",5600,"Armagh",54.34640121,-6.656970024,19720807,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"97",6717,"Armagh",54.34640121,-6.656970024,19730408,1368.053543,0,1,0,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"98",6336,"Armagh",54.18859863,-6.361060143,19730109,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"99",1983,"Armagh",54.34640121,-6.656970024,19690814,1368.053543,0,1,0,0,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1969,0
"100",8645,"Armagh",54.183524,-6.348041,19741228,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"101",7840,"Armagh",54.422084,-6.45254,19740601,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"102",1152,"Armagh",54.34640121,-6.656970024,19740813,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"103",7603,"Armagh",54.175348,-6.340471,19731208,1368.053543,1,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"104",5276,"Armagh",54.19549179,-6.395780087,19720529,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"105",1153,"Armagh",54.34640121,-6.656970024,19740813,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"106",4659,"Armagh",54.18859863,-6.361060143,19720126,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"107",1445,"Armagh",54.193199,-6.37496,19790417,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1979,10
"108",962,"Armagh",54.34640121,-6.656970024,19730225,1368.053543,0,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"109",8376,"Armagh",54.18859863,-6.361060143,19741018,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"110",8462,"Armagh",54.34640121,-6.656970024,19741108,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"111",1104,"Armagh",54.171431,-6.337121,19740518,1368.053543,1,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"112",872,"Armagh",54.181418,-6.407507,19720822,1368.053543,0,0,1,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"113",5720,"Armagh",54.18859863,-6.361060143,19720826,1368.053543,0,1,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"114",1926,"Armagh",54.178072,-6.344696,19931031,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1993,24
"115",1217,"Armagh",54.18859863,-6.361060143,19741116,1368.053543,0,0,1,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"116",2958,"Armagh",54.42454147,-6.445829868,19750427,1368.053543,0,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1975,6
