"","name","year","id","initGovt","initRebel","initOther","targetCiv","direct","religion","governance","polNet","employment","stdLiving","clubs","yearsSince1969","govtAttacks","rebelAttacks","loyalistAttacks","govtAll","rebelAll","loyalistAll"
"85","Armagh",1972,5115,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"86","Armagh",1972,5435,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"87","Armagh",1972,5604,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"88","Armagh",1972,5797,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"89","Armagh",1972,4559,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"90","Armagh",1972,5953,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"91","Armagh",1972,5888,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"92","Armagh",1972,2484,1,0,0,1,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"93","Armagh",1972,793,0,1,0,0,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"94","Armagh",1972,4933,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"95","Armagh",1972,5764,1,0,0,0,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"96","Armagh",1972,902,0,1,0,0,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
"97","Armagh",1972,5212,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,3,6,2,0,24,35,2
